Name,Comments
Asylbewerber,
Folgeantragstellung,
Erstantragstellung,
Asylverfahren abgeschlossen,
Visum,
Familiennachzug,
Duldung (Arbeitsverbot),
Duldung (Arbeitserlaubnis),
Sonstiges,
Unregistriert,
